epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,41928.8,1.34372,0.80077,1.13283,0.75629,0.71893,0.73816,0.29043,1.95141,1.00967,1.48982,0.000110662,0.000110662,0.000110662
84,42201,1.36476,0.81289,1.13825,0.75914,0.7325,0.74237,0.2912,1.92653,1.00212,1.47312,0.00010484,0.00010484,0.00010484
85,42470.2,1.32788,0.80254,1.12863,0.77384,0.699,0.73442,0.29236,1.92852,1.00413,1.47692,9.90192e-05,9.90192e-05,9.90192e-05
86,42819.6,1.32114,0.78616,1.12164,0.72984,0.73821,0.73958,0.29569,1.92338,0.99639,1.4824,9.3198e-05,9.3198e-05,9.3198e-05
87,43185.8,1.33174,0.80509,1.14013,0.74902,0.71442,0.72622,0.29009,1.93818,1.00882,1.48252,8.73768e-05,8.73768e-05,8.73768e-05
88,43506.5,1.30228,0.79177,1.13096,0.74912,0.71476,0.73359,0.29393,1.93638,1.00639,1.47727,8.15556e-05,8.15556e-05,8.15556e-05
89,43816.4,1.31585,0.79733,1.13353,0.75122,0.72026,0.73535,0.29275,1.93005,1.00504,1.48256,7.57344e-05,7.57344e-05,7.57344e-05
90,44125.4,1.32615,0.79474,1.12976,0.73625,0.71716,0.73833,0.28988,1.93211,1.00444,1.48232,6.99132e-05,6.99132e-05,6.99132e-05
91,44421.5,1.47794,0.86743,1.196,0.74662,0.72278,0.73299,0.28491,1.95116,1.02892,1.50128,6.4092e-05,6.4092e-05,6.4092e-05
92,44772.8,1.46152,0.84111,1.19397,0.73903,0.7227,0.72651,0.28275,1.94511,1.0238,1.51144,5.82708e-05,5.82708e-05,5.82708e-05
93,45120.2,1.44013,0.8379,1.18065,0.74833,0.70576,0.72211,0.28112,1.9378,1.03226,1.50906,5.24496e-05,5.24496e-05,5.24496e-05
94,45525.1,1.41309,0.81251,1.16959,0.73801,0.71387,0.71762,0.28284,1.93089,1.02571,1.49758,4.66284e-05,4.66284e-05,4.66284e-05
95,45890.6,1.41611,0.81412,1.16511,0.75513,0.71664,0.73006,0.28696,1.93014,1.01429,1.49784,4.08072e-05,4.08072e-05,4.08072e-05
96,46253.9,1.4233,0.81216,1.17829,0.76794,0.70554,0.73156,0.28771,1.93383,1.01297,1.49765,3.4986e-05,3.4986e-05,3.4986e-05
97,46561.9,1.4199,0.81384,1.17213,0.7634,0.70083,0.72804,0.28582,1.94351,1.01544,1.50315,2.91648e-05,2.91648e-05,2.91648e-05
98,46869.6,1.39928,0.80439,1.15383,0.75039,0.70437,0.72473,0.28372,1.9463,1.01677,1.50504,2.33436e-05,2.33436e-05,2.33436e-05
99,47216.6,1.40924,0.80944,1.17339,0.7422,0.70106,0.72163,0.28248,1.94381,1.0158,1.5047,1.75224e-05,1.75224e-05,1.75224e-05
100,47576.7,1.40743,0.80572,1.16345,0.75476,0.70493,0.72533,0.28496,1.93979,1.0135,1.49997,1.17012e-05,1.17012e-05,1.17012e-05
